feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,Class
-3.001412727,0.842501892,-0.004392523,-0.495648753,-0.767347486,-1.151800012,-1.124655688,0.550556933,-2.001858351,-3.635200228,2.092098572,-0.839797407,-0.511105212,0
-1.375069252,3.935754058,-1.947822576,-0.773650912,-0.074056537,2.638232643,-0.09217408,-0.25881367,-2.632741638,2.126441828,-0.120198344,1.953656748,0.281695914,0
-0.578300328,0.347300078,-0.205724778,-0.0319163,-0.586519593,0.177730932,-0.8552333,1.129882408,-0.707296226,1.231800186,-1.228655325,-0.822820044,-0.157567761,0
-1.989695621,0.016358384,0.081290635,0.279237754,0.237348119,-0.764086356,0.078434507,-0.738414705,-1.542901662,-0.955017704,-0.52808064,0.668731731,-0.699782744,0
0.253592976,1.275498108,-0.693153721,-0.145002508,1.246268509,1.197096462,2.101381374,-0.780943348,-0.381510993,1.086959505,-0.756325388,0.335350027,1.421022043,0
-2.077592317,1.436100353,-0.37931675,0.294698361,0.043083742,-0.243532245,-0.647848453,-0.595052706,-1.593175408,0.381726647,1.763537502,0.198022801,-0.016226209,0
-0.288772997,0.222830487,-0.239646977,0.218843524,-0.094229756,0.381899728,-0.338250321,-0.063950374,-0.623500995,-0.521894539,-0.255624108,0.357451275,-1.319616748,0
-1.908844162,-1.524276091,0.716236012,1.265342629,-0.247388182,-1.639574467,-0.351126245,0.498478315,-1.197878457,0.076586807,1.339864263,0.781957044,-1.423676312,0
-2.202466112,3.472391677,-0.661841068,1.224724522,0.151795949,-0.354049011,0.763512567,1.556656568,-0.815886374,1.622875984,0.696223683,-0.85378638,1.504112838,0
-1.28096041,0.323999338,0.414456337,-0.498437981,0.239380891,-1.423231228,0.421513647,-0.978637489,0.053187918,-1.401984268,-2.102701754,1.102626308,-0.291025893,0
-0.649734884,-0.703796608,0.170263003,0.789951591,-0.301937986,-0.326365645,-1.428169081,-1.370430901,-0.710798733,0.465229553,1.802945663,-0.592352433,-0.095561669,0
-0.791399167,-0.943740531,0.254188959,-0.758351984,-0.210791318,-0.473285124,-1.334286501,2.068547584,-0.825339371,0.474771097,-1.181699783,-1.052924619,1.036544076,0
1.142406912,0.664792055,-0.668408661,0.189746761,0.408953393,1.611882395,0.175290522,1.79879532,-0.005766039,-1.363519128,0.49580026,-0.000445423,-1.106023201,0
-3.439010439,1.339866993,-0.309564489,1.460903426,-0.236520515,-0.760660264,0.597661001,-0.955518768,-2.697378633,-1.770774423,1.008752072,-0.101259688,-0.161269501,0
-1.238525647,2.644320152,-0.803720351,1.185908255,-0.449866301,0.536623303,-0.420239075,-0.082838378,-0.910663741,1.873576394,-0.893419086,-0.934485348,1.375179058,0
-2.556298379,1.450584001,-0.095030994,-1.285439899,1.013286498,-1.031418015,-0.175978331,-0.400428061,-1.362551089,-0.094753146,1.146170451,2.13198365,2.029297356,0
-2.386327057,-3.245460229,1.42672904,0.41290867,1.455027608,-2.784044305,0.596301098,0.458160021,-1.305709728,-1.143832154,0.633929109,-0.641623916,-0.446056987,0
-2.692676321,0.58842435,0.56971566,-2.030275151,-0.302130385,-2.275454156,0.375820326,0.662753458,-0.633833669,-1.740226581,-0.870943551,0.0377806,-0.443719203,0
-1.659408936,2.69892667,-0.95245339,1.106979098,0.180625769,0.733322476,0.311186497,0.186717561,-1.571140016,-0.290038544,-2.254357673,0.178010526,1.1078403,0
1.004616795,0.997077625,-0.729729373,1.914956308,0.055875845,1.594487611,1.110760479,0.586797077,-0.015601499,1.661281289,0.51614731,0.548223237,-0.81117835,0
0.230384524,1.562178256,-0.774964347,0.422662143,1.248342161,1.275241065,-0.241994212,0.551141902,-0.371307849,1.080448327,0.739479575,-1.508890862,1.359426918,0
-0.940268004,-1.004244652,0.341003364,-1.801231629,-0.148065616,-0.691857377,1.421570512,-0.198300401,-0.805727116,0.189501743,-0.324534928,0.636573575,0.083544967,0
-1.260409818,-0.2955942,0.14009003,-0.331974238,-0.939495512,-0.577479589,-0.634671123,0.304776545,-1.007019247,2.06231642,-0.04345314,0.538924488,0.653574997,0
-1.173159242,-0.890180376,0.338654709,-0.959954096,-1.667575788,-0.793778346,-0.433263507,-1.156828705,-0.929212698,-0.475650681,-0.105410957,1.272829124,-0.262639005,0
-2.478137868,-1.135060753,0.684140382,1.004692887,-2.982541912,-1.867721741,0.26410857,-2.00046108,-1.476451673,-0.302852244,0.604493656,-0.987532927,0.60604268,0
-1.229642774,-1.322761848,0.501691581,-1.148149488,-1.047957041,-1.02787242,-1.309185221,1.309577369,-0.935687408,-1.140193585,-1.489055968,-1.012457625,-0.085234294,0
-3.018908807,-3.195621292,1.4983331,0.138723321,-0.399586173,-3.146420351,-1.455470451,-0.575178955,-1.660248712,0.849056101,0.663765472,-0.768516567,-0.287307688,0
-2.090263363,-0.420692618,0.355499569,0.070197229,0.067472889,-1.261443154,0.436166166,1.346083414,-1.341776973,-1.288668584,-0.599877899,0.829817778,1.313182899,0
-1.583725334,-0.686230407,0.370988044,-0.697955491,-0.532042607,-1.057176992,0.49847441,0.498323587,-1.062932687,0.166810305,-0.172347069,1.449964191,0.825538923,0
-2.627258993,-2.061766377,1.020267581,1.401928253,-0.670177455,-2.347523399,-0.078419528,0.708468578,-1.544361715,0.689602379,2.208614763,0.164574618,-0.189266422,0
-2.733144462,-3.86174062,1.688237181,-1.078910764,-0.824359653,-3.260686774,-1.423972868,0.298228126,-1.481925524,-1.624916009,-0.975528607,0.304160295,1.119008508,0
-2.728243964,-1.076806332,0.985318163,-1.079601319,0.610881283,-2.64334166,0.763423813,-0.771239799,-0.975624488,-0.398877756,1.330950936,-0.402583071,-1.012379974,0
-2.597707139,-1.536453268,0.836047147,-0.372736559,0.315643308,-2.105728515,1.581314716,0.181192448,-1.539703671,-1.517497758,-0.827699477,-3.236993693,0.080887119,0
-1.885467582,2.006220706,-0.63617028,0.779930345,1.680086649,0.194141162,-0.503499071,1.343534654,-1.576063204,-1.77575829,0.371563906,0.453514849,1.096481557,0
-1.642453053,-1.319613387,1.144117962,-0.990426362,0.672452775,-2.604955515,-0.604138287,-0.462830523,0.147565252,0.74422912,0.85599729,1.973733443,-0.163278385,0
0.109455991,0.636922857,-0.440241014,-0.985839717,-0.420823991,0.80624677,-0.260727389,-1.819314356,-0.416665807,-1.220030236,1.727203096,-2.421887543,-0.399491038,0
-1.410142437,-0.757990761,0.341647321,-1.17853262,1.475964695,-0.915358744,-0.701015197,-0.064607718,-1.030755826,1.454222219,0.144647384,0.765586485,1.143627993,0
-3.399761592,-2.040428376,1.18269169,-0.188140284,-2.009652368,-2.946214697,-0.160188139,-0.62918927,-1.838594814,-1.99873792,0.372938148,-0.09463132,-0.737149893,0
-2.815615621,1.433231518,-0.218014512,0.936805677,0.106435416,-0.82123065,1.268358611,-0.182314701,-1.877888527,-0.664966511,-1.542822149,-0.965575006,-0.107127217,0
-0.839759314,-0.733423741,0.251365312,0.353056373,0.967584719,-0.554701501,1.490711657,-0.043487891,-0.71688996,0.399366643,0.433794074,-0.640216466,-0.938368251,0
-1.530665033,-0.754910073,0.318403327,0.482665026,-0.579855181,-0.898496785,-1.078364164,-0.518435632,-1.18585405,0.042907326,-0.002685726,-1.049913545,0.269235133,0
-1.697628723,0.767737465,0.122378329,-0.767546501,0.000304964,-1.036912892,0.060736126,1.35361211,-0.634713355,-1.07449839,1.020381874,-0.329743159,0.785846413,0
-2.843766161,0.691338826,0.456615851,-1.652934562,-0.899618658,-2.098700292,-0.614190418,0.543806654,-0.942698565,-0.203156366,0.310186517,0.728741586,-0.848066927,0
-1.70331293,3.935460751,-0.905404109,-1.539054922,-2.077159659,0.17965564,0.797252299,1.3964657,-0.580762754,-0.359976174,0.412114301,-0.31951245,0.51486118,0
-1.937621452,-1.828434053,0.830592171,-1.18193587,0.505737342,-1.800383815,0.982176173,1.111355313,-1.193505277,0.966539809,1.568159398,-0.751029603,-0.163093839,0
1.384674277,2.809039621,-1.456804294,-0.042420752,1.016555816,2.716572707,0.410879281,-0.5182778,0.037720376,1.170032968,-0.421960989,-0.037883028,-1.720938401,0
-2.515714605,-1.230005257,0.734905912,-0.722142589,-1.305942964,-1.960340565,1.635069583,0.635697062,-1.466247079,-1.765497867,1.441905271,-1.933301599,-1.183101327,0
-2.951917268,0.88007415,-0.178891182,-0.877777306,-0.433431638,-0.754991272,-0.387760923,0.238557532,-2.32210263,1.288210471,0.838146897,0.878205565,0.839247845,0
-0.836591622,0.504546597,-0.227190751,0.12796929,-0.096216681,0.096669864,0.397087844,-0.773511049,-0.863616894,0.447749853,-0.26913734,-0.898860288,-0.042141453,0
